time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010488349642	95.5603	19.6955	0.722694	0.0894426	0.157499	radar	0.467066	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816
1477010489349642	96.2578	19.2214	0.80787	-0.805447	-0.441708	lidar	1.72498	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589
1477010489349642	96.316	19.2544	1.061	-0.624664	-0.269311	radar	0.764538	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589
1477010490349642	97.5021	18.7101	2.00187	-0.265619	0.0709326	lidar	0.90563	97.5286	18.727	97.45	18.506	0.868716	-0.503009
1477010490349642	97.4071	18.7073	1.56257	-0.464508	-0.211368	radar	1.71447	97.5333	18.1735	97.45	18.506	0.868716	-0.503009
1477010491349642	98.2125	18.3649	0.914209	-0.378407	-0.0487499	lidar	0.204295	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023
1477010491349642	98.2425	18.3705	0.951868	-0.364463	-0.0429087	radar	0.24131	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023
1477010492349642	99.0447	17.3892	1.43161	-1.14765	-0.469403	lidar	0.877559	99.0363	17.357	99.2049	17.503	0.908006	-0.509278
1477010492349642	99.0585	17.4396	1.43468	-0.771091	-0.042759	radar	1.07144	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278
1477010493349642	99.9781	16.9641	0.974086	-0.429633	0.18301	lidar	0.621871	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134
1477010493349642	100.06	16.9775	1.03913	-0.368681	0.214573	radar	1.86185	100.441	16.9521	100.117	17.0001	0.944242	-0.512134
1477010494349642	101.196	16.5365	1.69771	-0.147009	0.218165	lidar	0.114913	101.204	16.5368	101.065	16.497	0.991362	-0.513687
1477010494349642	101.138	16.5264	1.30504	-0.281797	0.0625829	radar	0.823176	101.169	16.4353	101.065	16.497	0.991362	-0.513687
1477010495349642	102.379	16.3904	1.73482	0.0824888	0.229869	lidar	0.180402	102.387	16.3992	102.063	15.9949	1.04911	-0.512803
